CODE,BIODIV,F_THREAT
3141,0,2.94294
3273,0.997272005,0
3274,1.405997082,0.012012
3275,1.245087623,1.04004
3276,1.090682706,0.0790791
3277,1.046499659,0.0540541
3278,1.031578627,0.043043
3279,0.969138565,0.031031
3280,0.963215916,0.019019
3281,0.963215916,0.013013
3282,0.96709598,0.01001
3283,0.972492332,0.01001
3284,0.992430113,0.011011
3285,0.982833317,0.011011
3286,0.972244514,0.013013
3287,0.955225769,1.01602
3288,0.97809436,1.03604
3289,0.987619135,0.0510511
3290,0.986298594,0.0810811
3291,0.995436473,0.0860861
3292,1.015128793,0.0880881
3293,1.015128793,0.194194
3294,1.83832862,1.3964
3295,1.091725971,1.71371
3296,1.213415033,0.763764
3297,1.213909617,0.748749
3298,1.585985724,1.54154
3299,1.473151161,2.53053
3300,1.901839889,2.56957
3301,1.70102123,1.45946
3302,1.511831225,0
3433,2.395147954,0
3434,1.348130793,0.012012
3435,1.174627686,1.02703
3436,1.070789127,0.031031
3437,1.130443489,0.026026
3438,1.050064952,0.026026
3439,0.979415516,0.019019
3440,0.972154219,0.014014
3441,0.954705721,0.00900901
3442,0.954705721,0.00600601
3443,0.964697772,0.00800801
3444,0.967742115,0.00800801
3445,0.959187297,0.016016
3446,0.977239689,0.015015
3447,0.970009848,0.014014
3448,0.989263605,1.01802
3449,0.965488946,0.021021
3450,0.999294159,0.034034
3451,1.0055094,0.038038
3452,1.837824835,0.0780781
3453,1.059359711,0.21021
3454,1.10231219,0.349349
3455,1.10231219,0.606607
3456,1.140393192,0.743744
3457,1.465395797,1.71972
3458,1.637393076,2.5976
3459,1.633493859,2.42042
3460,1.534614917,1.71872
3461,1.503642499,1.64865
3462,1.577220774,1.67568
3463,1.477886168,1
3592,1.010698295,0
3593,1.305199964,0.00700701
3594,1.332604272,0.02002
3595,1.166708187,1.01301
3596,0.966860433,1.01502
3597,1.003160728,0.015015
3598,0.988150032,0.012012
3599,0.951651664,0.00900901
3600,0.96206474,0.00900901
3601,0.950725944,1.00501
3602,0.935318326,1.00601
3603,0.935318326,1.00801
3604,0.973791743,0.011011
3605,0.959894314,0.017017
3606,0.937071906,0.021021
3607,0.952094559,0.02002
3608,0.965488946,1.01802
3609,0.99184801,1.02903
3610,1.008292232,0.04004
3611,1.006335038,0.048048
3612,1.013074998,0.0860861
3613,1.037275206,0.199199
3614,1.061851714,0.289289
3615,1.150536953,0.454454
3616,1.150536953,1.68368
3617,1.546678723,2.7007
3618,1.612323005,2.54354
3619,1.48164262,1.62963
3620,1.296660017,1.59359
3621,1.479468731,1.7047
3622,1.468253964,1.74174
3623,1.555720554,1.67367
3624,1.636186509,1
